
 IP LIN 

# Theta axis in degrees: 
XA 0.0 5.0 10.0 15.0 20.0 25.0 30.0 35.0 40.0 45.0 50.0 55.0 60.0 65.0 70.0 75.0 80.0 85.0 90.0 90.0001 180.0 
# Energy axis in keV: 
YA 50.0 60.0 80.0 100.0 150.0 200.0 300.0 400.0 500.0 600.0 800.0 1000.0 1022.0 1250.0 1500.0 2000.0 2044.0 3000.0 4000.0 5000.0 6000.0 7000.0 8000.0 9000.0 10000.0 

AP 0 0 0.018248261625
AP 0 1 0.0266249695653
AP 0 2 0.0396880302
AP 0 3 0.0499405420983
AP 0 4 0.0714601263249
AP 0 5 0.0906233943528
AP 0 6 0.124963267905
AP 0 7 0.155660489857
AP 0 8 0.183252049079
AP 0 9 0.208222365213
AP 0 10 0.252101852644
AP 0 11 0.289820318503
AP 0 12 0.29351205318
AP 0 13 0.330275173449
AP 0 14 0.364973070193
AP 0 15 0.420560484496
AP 0 16 0.424923474636
AP 0 17 0.497910710285
AP 0 18 0.54914957326
AP 0 19 0.585369268292
AP 0 20 0.612063756413
AP 0 21 0.63254168625
AP 0 22 0.648632645942
AP 0 23 0.661516175237
AP 0 24 0.672033177131
AP 1 0 0.0179719206213
AP 1 1 0.0262595587342
AP 1 2 0.0392029379496
AP 1 3 0.0493733581235
AP 1 4 0.0707450849655
AP 1 5 0.0897978739842
AP 1 6 0.123976662345
AP 1 7 0.154560865876
AP 1 8 0.182070714838
AP 1 9 0.206980808253
AP 1 10 0.250781366084
AP 1 11 0.288455511113
AP 1 12 0.292143954062
AP 1 13 0.328883602533
AP 1 14 0.363573704607
AP 1 15 0.419174409911
AP 1 16 0.423539680462
AP 1 17 0.496589144442
AP 1 18 0.547896509086
AP 1 19 0.584175748839
AP 1 20 0.610919631893
AP 1 21 0.631438478049
AP 1 22 0.647563369344
AP 1 23 0.660475167597
AP 1 24 0.671015957251
AP 2 0 0.0171576890043
AP 2 1 0.0251797658816
AP 2 2 0.0377650942454
AP 2 3 0.0476892258562
AP 2 4 0.0686160804047
AP 2 5 0.0873354396318
AP 2 6 0.121026464078
AP 2 7 0.151267165215
AP 2 8 0.178527831363
AP 2 9 0.203253659073
AP 2 10 0.246811443646
AP 2 11 0.284347944484
AP 2 12 0.288026080085
AP 2 13 0.324691280386
AP 2 14 0.35935466192
AP 2 15 0.414990882972
AP 2 16 0.419362705003
AP 2 17 0.492595140534
AP 2 18 0.54410667591
AP 2 19 0.580564232352
AP 2 20 0.607456393901
AP 2 21 0.628098247446
AP 2 22 0.644325249324
AP 2 23 0.657322178306
AP 2 24 0.667934642178
AP 3 0 0.0158499257377
AP 3 1 0.0234352192088
AP 3 2 0.0354275413114
AP 3 3 0.0449414254481
AP 3 4 0.0651229252422
AP 3 5 0.0832801738155
AP 3 6 0.116143441433
AP 3 7 0.145796822881
AP 3 8 0.172628584319
