
 IP LIN 

# Theta axis in degrees: 
XA 0.0 5.0 10.0 15.0 20.0 25.0 30.0 35.0 40.0 45.0 50.0 55.0 60.0 65.0 70.0 75.0 80.0 85.0 90.0 90.0001 180.0 
# Energy axis in keV: 
YA 50.0 60.0 80.0 100.0 150.0 200.0 300.0 400.0 500.0 600.0 800.0 1000.0 1022.0 1250.0 1500.0 2000.0 2044.0 3000.0 4000.0 5000.0 6000.0 7000.0 8000.0 9000.0 10000.0 

AP 7 7 0.28198150673
AP 7 8 0.315103296172
AP 7 9 0.343724104014
AP 7 10 0.391498803586
AP 7 11 0.430467997091
AP 7 12 0.434192222604
AP 7 13 0.470501767218
AP 7 14 0.503602325137
AP 7 15 0.554611454099
AP 7 16 0.558520769046
AP 7 17 0.622143103808
AP 7 18 0.665029934685
AP 7 19 0.694575908472
AP 7 20 0.715978772739
AP 7 21 0.732195726068
AP 7 22 0.744821104301
AP 7 23 0.754857852021
AP 7 24 0.763004766074
AP 8 0 0.0543135614567
AP 8 1 0.071495675898
AP 8 2 0.0955916059522
AP 8 3 0.11298665774
AP 8 4 0.146637648287
AP 8 5 0.17430673137
AP 8 6 0.220212243416
AP 8 7 0.258374242927
AP 8 8 0.290946260974
AP 8 9 0.319284307896
AP 8 10 0.366945615025
AP 8 11 0.406123759975
AP 8 12 0.409881161965
AP 8 13 0.446628227843
AP 8 14 0.480299272913
AP 8 15 0.532484543064
AP 8 16 0.536498096753
AP 8 17 0.602081091234
AP 8 18 0.646554937186
AP 8 19 0.677310532993
AP 8 20 0.699646375123
AP 8 21 0.716601058636
AP 8 22 0.72981877981
AP 8 23 0.740337479491
AP 8 24 0.748882709622
AP 9 0 0.0426504536568
AP 9 1 0.0574382615283
AP 9 2 0.0786699897368
AP 9 3 0.094284842483
AP 9 4 0.125041943779
AP 9 5 0.15078356969
AP 9 6 0.194225677783
AP 9 7 0.230926757929
AP 9 8 0.262613389006
AP 9 9 0.290423237508
AP 9 10 0.337652394393
AP 9 11 0.376862226164
AP 9 12 0.380639694615
AP 9 13 0.417730972164
AP 9 14 0.451941213482
AP 9 15 0.505352453171
AP 9 16 0.50947888521
AP 9 17 0.57725736796
AP 9 18 0.623574541369
AP 9 19 0.655761061455
AP 9 20 0.679212573069
AP 9 21 0.697055777156
AP 9 22 0.710990547817
AP 9 23 0.722094871434
AP 9 24 0.731125505787
AP 10 0 0.0311565350466
AP 10 1 0.0432209996255
AP 10 2 0.06108017407
AP 10 3 0.0745349550084
AP 10 4 0.101666659008
AP 10 5 0.124901920946
AP 10 6 0.164993256521
AP 10 7 0.199579454986
AP 10 8 0.229888312897
AP 10 9 0.256792680089
AP 10 10 0.303064256343
AP 10 11 0.341976861716
AP 10 12 0.345747727767
AP 10 13 0.382967159597
AP 10 14 0.417589465221
AP 10 15 0.472161736712
AP 10 16 0.476402629863
AP 10 17 0.546533400218
AP 10 18 0.594938396686
AP 10 19 0.628788908185
AP 10 20 0.653557677806
AP 10 21 0.672460396723
