energy[eV] flux[erg/cm^2/s]
4.19637e+7	1.04498e-10
5.09066e+7	8.80121e-11
5.89730e+7	7.49883e-11
6.80181e+7	6.50038e-11
7.86230e+7	5.62272e-11
9.10811e+7	4.86714e-11
1.05051e+8	4.21967e-11
1.22563e+8	3.64314e-11
1.48738e+8	3.15746e-11
1.84845e+8	2.68218e-11
2.25459e+8	2.29857e-11
2.72683e+8	2.00538e-11
3.32797e+8	1.70507e-11
4.21146e+8	1.43878e-11
5.10897e+8	1.23412e-11
6.21504e+8	1.04158e-11
7.63288e+8	9.19221e-12
9.57214e+8	8.13606e-12
1.21867e+9	7.05536e-12
1.53291e+9	6.24946e-12
1.95160e+9	5.60626e-12
2.54539e+9	5.29969e-12
3.31984e+9	5.04036e-12
4.32992e+9	4.77262e-12
5.64732e+9	4.45234e-12
7.36555e+9	4.12615e-12
9.60656e+9	3.83020e-12
1.25294e+10	3.54764e-12
1.63416e+10	3.14935e-12
2.10578e+10	2.76435e-12
2.68095e+10	2.44118e-12
3.45467e+10	2.13627e-12
4.45170e+10	1.86378e-12
5.66763e+10	1.64190e-12
7.21567e+10	1.44820e-12
9.29813e+10	1.26808e-12
1.16957e+11	1.11983e-12
1.43606e+11	9.77652e-13
1.78467e+11	8.46365e-13
2.19131e+11	7.40277e-13
2.65830e+11	6.52743e-13
3.22480e+11	5.75124e-13
3.95956e+11	5.02738e-13
4.92079e+11	4.34055e-13
5.96946e+11	3.64887e-13
6.94197e+11	3.15589e-13
8.19072e+11	2.77234e-13
9.53305e+11	2.41601e-13
1.10623e+12	2.12737e-13
1.28086e+12	1.86055e-13
1.51253e+12	1.61584e-13
1.78611e+12	1.40369e-13
2.07035e+12	1.23463e-13
2.45587e+12	1.10001e-13
2.79987e+12	9.48002e-14
3.30219e+12	8.24458e-14
3.78644e+12	7.55817e-14
