# AtmosphericNeutrons spectrum 
# Format: DP <energy in keV> <shape of differential spectrum [XX/keV]>
# Although cosima doesn't use it the spectrum here is given as a flux in #/cm^2/s/keV
# Integrated over 3.917104225451067 sr
# Integral Flux: 0.03861729506290615 #/cm^2/s

IP LOGLOG

DP 100.0 4.539016562342992e-06
DP 120.45035402587824 4.178324558072739e-06
DP 145.082877849594 3.84629486868008e-06
DP 174.7528400007683 3.5406498492923385e-06
DP 210.49041445120199 3.2592928476115144e-06
DP 253.53644939701115 3.000293821377103e-06
DP 305.3855508833416 2.7618760987342155e-06
DP 367.8379771828634 2.5424041906862896e-06
DP 443.0621457583882 2.340372572028707e-06
DP 533.6699231206312 2.154395353803176e-06
DP 642.807311728432 1.983196776428374e-06
DP 774.263682681127 1.8256024582919767e-06
DP 932.60334688322 1.63872039205974e-06
DP 1123.3240329780276 1.3223095694016096e-06
DP 1353.0477745798075 1.0669926399910984e-06
DP 1629.7508346206434 8.609733455308602e-07
DP 1963.0406500402723 6.947330974286613e-07
DP 2364.4894126454074 5.605911950331371e-07
DP 2848.035868435802 4.5234995872778374e-07
DP 3430.4692863149194 3.650083821757714e-07
DP 4132.012400115339 2.9453107375820535e-07
DP 4977.023564332114 2.3766181174268818e-07
DP 5994.8425031894085 1.917730989810153e-07
DP 7220.809018385471 1.547447661999643e-07
DP 8697.490026177835 1.2486601506425155e-07
DP 10476.157527896663 1.0075637516475474e-07
DP 12618.56883066021 8.130192295411253e-08
DP 15199.11082952933 6.61711650318953e-08
DP 18307.382802953696 6.029270110583458e-08
DP 22051.307399030455 5.493646371323965e-08
DP 26560.87782946684 5.005605968819403e-08
DP 31992.671377973846 4.560921730577628e-08
DP 38535.28593710536 4.155742014460136e-08
DP 46415.88833612782 3.786557347600435e-08
DP 55908.10182512223 3.4501700290289696e-08
DP 67341.50657750828 3.143666432717092e-08
DP 81113.08307896872 2.272812519405755e-08
DP 97700.99572992246 1.546289780727338e-08
DP 117681.19524349991 1.0520058586297032e-08
DP 141747.41629268078 7.157237539723283e-09
DP 170735.26474706922 4.869369194079323e-09
DP 205651.23083486516 3.3128363026449757e-09
DP 247707.6355991714 2.2538616257454407e-09
DP 298364.724028334 1.5333966921191083e-09
DP 359381.36638046254 1.0432341491346673e-09
DP 432876.12810830615 7.097559917236284e-10
DP 521400.8287999695 4.828768001943189e-10
DP 628029.1441834259 3.285213606998322e-10
DP 756463.3275546291 2.2350687461612902e-10
DP 911162.7561154906 1.5206111071210885e-10
DP 1097498.7654930567 1.0345355788591802e-10
DP 1321941.1484660313 7.038379891567289e-11
DP 1592282.793341094 4.788505345813933e-11
DP 1917910.2616724886 3.2578212316105424e-11
DP 2310129.7000831626 2.2164325631192038e-11
DP 2782559.402207126 1.507932129359534e-11
DP 3351602.6509388476 1.0259095379625483e-11
DP 4037017.258596558 6.9796933137140515e-12
DP 4862601.580065354 4.7485784029510684e-12
DP 5857020.818056673 3.2306572560527587e-12
DP 7054802.310718645 2.1979517700708232e-12
DP 8497534.359086456 1.495358869934716e-12
DP 10235310.218990268 1.0173554216889794e-12
DP 12328467.394420683 6.92149606926893e-13
DP 14849682.622544665 4.70898437415035e-13
DP 17886495.29057435 3.2037197759088397e-13
DP 21544346.900318865 2.1796250713618601e-13
DP 25950242.113997374 1.48289044735865e-13
DP 31257158.496882416 1.0088726303251708e-13
DP 37649358.067924716 6.863784078130644e-14
DP 45348785.081285916 4.669720483547559e-14
DP 54622772.17684348 3.177006902641772e-14
DP 65793322.465756826 2.161451182141331e-14
DP 79248289.83539185 1.4705259874932423e-14
DP 95454845.66618347 1.0004605691582943e-14
DP 114975699.53977403 6.806553294217997e-15
DP 138488637.13938746 4.63078397842386e-15
DP 166810053.72000557 3.1505167634613836e-15
DP 200923300.2565054 2.1434288282714007e-15
DP 242012826.47943833 1.4582646234890597e-15
DP 291505306.28251815 9.921186484342694e-16
DP 351119173.42151415 6.749799705186536e-16
DP 422924287.4389499 4.592172129012763e-16
DP 509413801.48163855 3.124247501192875e-16
DP 613590727.3413188 2.1255567462381576e-16
DP 739072203.3525776 1.446105495724509e-16
DP 890215085.4450393 9.838462833164468e-17
DP 1072267222.0103253 6.693519332146886e-17
DP 1291549665.0148828 4.553882228308817e-17
DP 1555676143.9304786 3.09819727414682e-17
DP 1873817422.8603868 2.1078336830629196e-17
DP 2257019719.633917 1.4340477517455997e-17
DP 2718588242.732951 9.75642893844574e-18
DP 3274549162.877732 6.637708229386035e-18
DP 3944206059.437664 4.515911591877759e-18
DP 4750810162.102813 3.072364255989937e-18
DP 5722367659.35022 2.0902583962144574e-18
DP 6892612104.3497095 1.4220905462061552e-18
DP 8302175681.319769 9.675079048941814e-19
DP 10000000000.0 6.582362484090641e-19
EN
