
 IP LIN 

# Theta axis in degrees: 
XA 0.0 5.0 10.0 15.0 20.0 25.0 30.0 35.0 40.0 45.0 50.0 55.0 60.0 65.0 70.0 75.0 80.0 85.0 90.0 90.0001 180.0 
# Energy axis in keV: 
YA 50.0 60.0 80.0 100.0 150.0 200.0 300.0 400.0 500.0 600.0 800.0 1000.0 1022.0 1250.0 1500.0 2000.0 2044.0 3000.0 4000.0 5000.0 6000.0 7000.0 8000.0 9000.0 10000.0 

AP 0 0 0.144238410774
AP 0 1 0.173152334312
AP 0 2 0.210026866763
AP 0 3 0.234713310241
AP 0 4 0.279122642042
AP 0 5 0.313107853997
AP 0 6 0.365746493486
AP 0 7 0.406739357237
AP 0 8 0.44014017549
AP 0 9 0.468189740968
AP 0 10 0.51355435093
AP 0 11 0.549378093444
AP 0 12 0.552751443625
AP 0 13 0.585215377929
AP 0 14 0.614183020308
AP 0 15 0.65776920851
AP 0 16 0.661060607334
AP 0 17 0.71373085995
AP 0 18 0.748354791554
AP 0 19 0.771832362132
AP 0 20 0.788658978658
AP 0 21 0.801311685126
AP 0 22 0.811106105383
AP 0 23 0.818858090833
AP 0 24 0.825128530254
AP 1 0 0.14317797254
AP 1 1 0.171999039378
AP 1 2 0.208781522802
AP 1 3 0.233420424422
AP 1 4 0.277768508569
AP 1 5 0.311725309374
AP 1 6 0.364347221792
AP 1 7 0.405347325954
AP 1 8 0.438765778088
AP 1 9 0.466837655907
AP 1 10 0.512251767367
AP 1 11 0.548125484266
AP 1 12 0.551504008927
AP 1 13 0.584021689248
AP 1 14 0.613043107972
AP 1 15 0.656719969524
AP 1 16 0.660018672906
AP 1 17 0.712814127823
AP 1 18 0.747528527217
AP 1 19 0.771070942473
AP 1 20 0.787945717869
AP 1 21 0.800635542658
AP 1 22 0.810459221089
AP 1 23 0.818234684273
AP 1 24 0.824524319759
AP 2 0 0.14000354854
AP 2 1 0.168541803055
AP 2 2 0.205042812423
AP 2 3 0.229535672059
AP 2 4 0.273694304939
AP 2 5 0.307561951099
AP 2 6 0.360128457513
AP 2 7 0.401146963293
AP 2 8 0.434616107968
AP 2 9 0.462753413437
AP 2 10 0.508314255457
AP 2 11 0.544337073678
AP 2 12 0.547731070532
AP 2 13 0.58040972403
AP 2 14 0.609592582089
AP 2 15 0.65354223767
AP 2 16 0.656862942543
AP 2 17 0.710035962919
AP 2 18 0.745023613188
AP 2 19 0.768762063873
AP 2 20 0.785782514185
AP 2 21 0.798584661699
AP 2 22 0.808496902877
AP 2 23 0.816343447186
AP 2 24 0.822691210465
AP 3 0 0.134737506191
AP 3 1 0.162790181816
AP 3 2 0.19880409115
AP 3 3 0.223041963816
AP 3 4 0.266865405271
AP 3 5 0.300571046388
AP 3 6 0.353027251202
AP 3 7 0.394064952579
AP 3 8 0.427610908675
AP 3 9 0.455851985555
AP 3 10 0.501651116421
AP 3 11 0.537919466756
AP 3 12 0.541339060272
AP 3 13 0.574284952498
AP 3 14 0.603737127775
AP 3 15 0.648143907541
AP 3 16 0.651501568925
AP 3 17 0.705310370077
AP 3 18 0.740759646993
AP 3 19 0.764829892538
AP 3 20 0.782097190375
AP 3 21 0.795089823214
AP 3 22 0.805152343972
AP 3 23 0.813119557399
AP 3 24 0.819566034068
AP 4 0 0.127423375267
AP 4 1 0.154766153465
AP 4 2 0.190059667121
AP 4 3 0.213915571366
AP 4 4 0.257227491083
AP 4 5 0.290676938168
AP 4 6 0.342939055496
AP 4 7 0.38397804528
AP 4 8 0.41761426577
AP 4 9 0.445988641274
AP 4 10 0.492106915505
AP 4 11 0.528711894679
AP 4 12 0.532166848869
AP 4 13 0.565484022155
AP 4 14 0.595313308815
AP 4 15 0.640364772669
AP 4 16 0.643774752314
AP 4 17 0.698487143071
AP 4 18 0.734595865661
AP 4 19 0.759141468888
AP 4 20 0.776763070307
AP 4 21 0.790029453589
AP 4 22 0.800308142286
AP 4 23 0.808449051148
AP 4 24 0.815037696126
AP 5 0 0.118135584199
AP 5 1 0.144513696651
AP 5 2 0.178813470005
AP 5 3 0.202133864911
AP 5 4 0.244712182453
AP 5 5 0.277778831055
AP 5 6 0.329718487682
AP 5 7 0.370711475009
AP 5 8 0.404431184792
AP 5 9 0.432954069708
AP 5 10 0.479454475447
AP 5 11 0.516477762936
AP 5 12 0.519977170066
AP 5 13 0.553765102003
AP 5 14 0.584078133048
AP 5 15 0.629965273706
AP 5 16 0.63344344515
AP 5 17 0.689340236297
AP 5 18 0.726319687117
AP 5 19 0.751495546653
AP 5 20 0.76958812438
AP 5 21 0.783219052313
AP 5 22 0.793785977485
AP 5 23 0.802158716801
AP 5 24 0.808937257559
AP 6 0 0.106994773522
AP 6 1 0.132114336601
AP 6 2 0.165093673836
AP 6 3 0.187688741647
AP 6 4 0.229247499825
AP 6 5 0.26175850298
AP 6 6 0.313182354701
AP 6 7 0.354038226132
AP 6 8 0.38780386171
AP 6 9 0.416468236764
AP 6 10 0.463385133391
AP 6 11 0.500892409739
AP 6 12 0.504444161884
AP 6 13 0.538793509385
AP 6 14 0.569693259811
AP 6 15 0.616609136378
AP 6 16 0.620171900796
AP 6 17 0.677549483464
AP 6 18 0.715628527101
AP 6 19 0.741604782606
AP 6 20 0.760297583395
AP 6 21 0.774394212788
AP 6 22 0.78532999941
AP 6 23 0.79399980708
AP 6 24 0.801021930192
AP 7 0 0.094190256506
AP 7 1 0.117710905193
AP 7 2 0.148976129516
AP 7 3 0.170608850824
AP 7 4 0.210776425047
AP 7 5 0.242495119512
AP 7 6 0.293117681378
AP 7 7 0.333681370785
AP 7 8 0.367409346182
AP 7 9 0.396174205547
AP 7 10 0.44349669199
AP 7 11 0.481526870303
AP 7 12 0.485136761646
AP 7 13 0.520121802857
AP 7 14 0.551702570352
AP 7 15 0.599838004732
AP 7 16 0.603502130244
AP 7 17 0.66267317054
AP 7 18 0.702102163888
AP 7 19 0.729068457923
AP 7 20 0.74850717315
AP 7 21 0.763184388236
AP 7 22 0.774581092502
AP 7 23 0.783622752744
AP 7 24 0.790950189529
AP 8 0 0.0800104114655
AP 8 1 0.101541454591
AP 8 2 0.130619686358
AP 8 3 0.150994227668
AP 8 4 0.189287672477
AP 8 5 0.219891274126
AP 8 6 0.269298348298
AP 8 7 0.309322317328
AP 8 8 0.34286064504
AP 8 9 0.371633212764
AP 8 10 0.419279032936
AP 8 11 0.457826536183
AP 8 12 0.461496742795
AP 8 13 0.497162172196
AP 8 14 0.529500123044
AP 8 15 0.579034003925
AP 8 16 0.582816126967
AP 8 17 0.644106333453
AP 8 18 0.685160107776
AP 8 19 0.713330034142
AP 8 20 0.733681231392
AP 8 21 0.749071673567
AP 8 22 0.761036319063
AP 8 23 0.77053722163
AP 8 24 0.778242392356
AP 9 0 0.0648822370414
AP 9 1 0.0839868358625
AP 9 2 0.110319423191
AP 9 3 0.12907069272
AP 9 4 0.164867649892
AP 9 5 0.19391979575
AP 9 6 0.241519674628
AP 9 7 0.280623361338
AP 9 8 0.313718474883
AP 9 9 0.342326988127
AP 9 10 0.390101080443
AP 9 11 0.429086406332
AP 9 12 0.432812898457
AP 9 13 0.469150776899
AP 9 14 0.502286514726
AP 9 15 0.553365951012
AP 9 16 0.557281415492
AP 9 17 0.621018030205
AP 9 18 0.663996099461
AP 9 19 0.693611124864
AP 9 20 0.715067023042
AP 9 21 0.731325793305
AP 9 22 0.743984679748
AP 9 23 0.754048649967
AP 9 24 0.762218036341
AP 10 0 0.0494187465631
AP 10 1 0.0656346932654
AP 10 2 0.0885855992515
AP 10 3 0.105274841073
AP 10 4 0.137788718747
AP 10 5 0.164708569584
AP 10 6 0.209669469405
AP 10 7 0.24728243954
AP 10 8 0.279530128097
AP 10 9 0.307682019263
AP 10 10 0.355210098498
AP 10 11 0.394430416077
AP 10 12 0.398198510404
AP 10 13 0.435107722359
AP 10 14 0.469014178121
AP 10 15 0.521715074025
AP 10 16 0.525775443535
AP 10 17 0.592258094992
AP 10 18 0.637477585279
AP 10 19 0.668808317803
AP 10 20 0.691590903604
AP 10 21 0.708900494265
AP 10 22 0.722404128365
AP 10 23 0.733156032867
AP 10 24 0.741894365265
AP 11 0 0.034460509021
AP 11 1 0.0473518612262
AP 11 2 0.0662488026916
AP 11 3 0.0803758399352
AP 11 4 0.108649240867
AP 11 5 0.132684399896
AP 11 6 0.17386175837
AP 11 7 0.209147259023
AP 11 8 0.239921475736
AP 11 9 0.267139579191
AP 11 10 0.313761479231
AP 11 11 0.352807049075
AP 11 12 0.356583694176
AP 11 13 0.393797991087
AP 11 14 0.428320945136
AP 11 15 0.482570362036
AP 11 16 0.486778253609
AP 11 17 0.556212453523
AP 11 18 0.603983542307
AP 11 19 0.637323102464
AP 11 20 0.661684811963
AP 11 21 0.680258777415
AP 11 22 0.694786649267
AP 11 23 0.706377407843
AP 11 24 0.715812532757
AP 12 0 0.0210820303828
AP 12 1 0.0303434296268
AP 12 2 0.0445845402
AP 12 3 0.0556390849924
AP 12 4 0.0785923063566
AP 12 5 0.0988181209786
AP 12 6 0.134693770377
AP 12 7 0.166457767278
AP 12 8 0.194813615897
AP 12 9 0.220342152434
AP 12 10 0.264942704035
AP 12 11 0.30305506782
AP 12 12 0.306775353935
AP 12 13 0.343734131191
AP 12 14 0.378480339885
AP 12 15 0.433901521174
AP 12 16 0.438239809805
AP 12 17 0.510587932412
AP 12 18 0.561146160669
AP 12 19 0.596781203571
AP 12 20 0.622993651419
AP 12 21 0.643073776235
AP 12 22 0.658835675846
AP 12 23 0.671445560612
AP 12 24 0.681732612324
AP 13 0 0.0104855222598
AP 13 1 0.0161199311606
AP 13 2 0.0253937317395
AP 13 3 0.0329860865364
AP 13 4 0.0495994008167
AP 13 5 0.0650027437874
AP 13 6 0.0937098218804
AP 13 7 0.120332541475
AP 13 8 0.144897660525
AP 13 9 0.167578247286
AP 13 10 0.208333686845
AP 13 11 0.244169974554
AP 13 12 0.247713753524
AP 13 13 0.283330057806
AP 13 14 0.31745459946
AP 13 15 0.373052263797
AP 13 16 0.377461137451
AP 13 17 0.452105648754
AP 13 18 0.505435985115
AP 13 19 0.543555999863
AP 13 20 0.571861980006
AP 13 21 0.593692640252
AP 13 22 0.610915458643
AP 13 23 0.624747993111
AP 13 24 0.636067387095
AP 14 0 0.00364879905664
AP 14 1 0.00619698643281
AP 14 2 0.0108456133046
AP 14 3 0.0149682019641
AP 14 4 0.0247367696814
AP 14 5 0.0345144854342
AP 14 6 0.0541559257479
AP 14 7 0.0736878243569
AP 14 8 0.0926316642544
AP 14 9 0.110800828902
AP 14 10 0.144870906701
AP 14 11 0.176148548636
AP 14 12 0.179302473175
AP 14 13 0.211563721985
AP 14 14 0.24337102863
AP 14 15 0.296885945246
AP 14 16 0.301213185769
AP 14 17 0.376176769704
AP 14 18 0.431552788214
AP 14 19 0.471982284646
AP 14 20 0.502433738405
AP 14 21 0.526159653162
AP 14 22 0.545021195021
AP 14 23 0.560259476906
AP 14 24 0.572787566005
AP 15 0 0.000631969173542
AP 15 1 0.00126641415674
AP 15 2 0.00263980907891
AP 15 3 0.00402893412237
AP 15 4 0.0077894933465
AP 15 5 0.0120601076897
AP 15 6 0.0217823472282
AP 15 7 0.0326310237743
AP 15 8 0.0440585653537
AP 15 9 0.055732601433
AP 15 10 0.079234905495
AP 15 11 0.102407555265
