
 IP LIN 

# Theta axis in degrees: 
XA 0.0 5.0 10.0 15.0 20.0 25.0 30.0 35.0 40.0 45.0 50.0 55.0 60.0 65.0 70.0 75.0 80.0 85.0 90.0 90.0001 180.0 
# Energy axis in keV: 
YA 50.0 60.0 80.0 100.0 150.0 200.0 300.0 400.0 500.0 600.0 800.0 1000.0 1022.0 1250.0 1500.0 2000.0 2044.0 3000.0 4000.0 5000.0 6000.0 7000.0 8000.0 9000.0 10000.0 

AP 8 8 0.148234832778
AP 8 9 0.171144162547
AP 8 10 0.212221580691
AP 8 11 0.248261723613
AP 8 12 0.25182211349
AP 8 13 0.287573384484
AP 8 14 0.321777368209
AP 8 15 0.377413470057
AP 8 16 0.38182100365
AP 8 17 0.45635598819
AP 8 18 0.509517565098
AP 8 19 0.547475982801
AP 8 20 0.575641539373
AP 8 21 0.597352631863
AP 8 22 0.614474462145
AP 8 23 0.628221760424
AP 8 24 0.639468731479
AP 9 0 0.00761344422064
AP 9 1 0.0120634321179
AP 9 2 0.0196197989219
AP 9 3 0.0259583423471
AP 9 4 0.0401664155194
AP 9 5 0.0536496530522
AP 9 6 0.0793553499178
AP 9 7 0.103705250776
AP 9 8 0.126515827321
AP 9 9 0.147821101238
AP 9 10 0.186602613403
AP 9 11 0.221152295456
AP 9 12 0.22458915818
AP 9 13 0.259315552285
AP 9 14 0.292877493349
AP 9 15 0.348093697232
AP 9 16 0.352498330445
AP 9 17 0.42759076386
AP 9 18 0.481787348166
AP 9 19 0.520776259492
AP 9 20 0.549852757169
AP 9 21 0.572347091465
AP 9 22 0.590134650901
AP 9 23 0.604446330367
AP 9 24 0.616174407368
AP 10 0 0.00468494767683
AP 10 1 0.00777127597885
AP 10 2 0.0132660644316
AP 10 3 0.0180479274204
AP 10 4 0.0291665906239
AP 10 5 0.0400961433845
AP 10 6 0.0616645184184
AP 10 7 0.0827616925841
AP 10 8 0.102983711185
AP 10 9 0.122204856307
AP 10 10 0.157885326375
AP 10 11 0.190308966112
AP 10 12 0.193563411125
AP 10 13 0.226714117688
AP 10 14 0.259177713221
AP 10 15 0.313382431011
AP 10 16 0.317745311808
AP 10 17 0.39291562898
AP 10 18 0.448007688434
AP 10 19 0.488028775988
AP 10 20 0.518071174836
AP 10 21 0.541421968508
AP 10 22 0.559951761474
AP 10 23 0.574901133365
AP 10 24 0.587178118571
AP 11 0 0.00246280208091
AP 11 1 0.00434079169083
AP 11 2 0.00790068483783
AP 11 3 0.0111526587493
AP 11 4 0.0190910690032
AP 11 5 0.0272658450994
AP 11 6 0.0441534209034
AP 11 7 0.0613875755164
AP 11 8 0.0784156174482
AP 11 9 0.0949802307113
AP 11 10 0.126539306139
AP 11 11 0.155979908856
AP 11 12 0.158970156582
AP 11 13 0.189759031835
AP 11 14 0.220439715622
AP 11 15 0.27268143294
AP 11 16 0.276936370039
AP 11 17 0.351282938104
AP 11 18 0.406888750447
AP 11 19 0.447807135634
AP 11 20 0.478790597146
AP 11 21 0.503022783666
AP 11 22 0.522341653822
AP 11 23 0.537983722227
AP 11 24 0.550866156045
AP 12 0 0.00102498733695
AP 12 1 0.00196237071427
AP 12 2 0.00389795521975
AP 12 3 0.00578629627588
AP 12 4 0.0107133159778
AP 12 5 0.0161177144909
AP 12 6 0.0280028363503
AP 12 7 0.0408512551087
AP 12 8 0.054081010299
AP 12 9 0.0673631906775
AP 12 10 0.0935833620087
AP 12 11 0.118932372042
AP 12 12 0.121548787303
AP 12 13 0.148887703101
AP 12 14 0.176785025096
