IP LIN
PA -1.5 1.5 4.5 7.5 10.5 13.5 16.5 19.5 22.5 25.5 28.5 31.5 34.5 37.5 40.5 43.5 46.5 49.5 52.5 55.5 58.5 61.5 64.5 67.5 70.5 73.5 76.5 79.5 82.5 85.5 88.5 91.5 94.5 97.5 100.5 103.5 106.5 109.5 112.5 115.5 118.5 121.5 124.5 127.5 130.5 133.5 136.5 139.5 142.5 145.5 148.5 151.5 154.5 157.5 160.5 163.5 166.5 169.5 172.5 175.5 178.5 181.5 184.5 187.5 190.5 193.5 196.5 199.5 202.5 205.5 208.5 211.5 214.5 217.5 220.5 223.5 226.5 229.5 232.5 235.5 238.5 241.5 244.5 247.5 250.5 253.5 256.5 259.5 262.5 265.5 268.5 271.5 274.5 277.5 280.5 283.5 286.5 289.5 292.5 295.5 298.5 301.5 304.5 307.5 310.5 313.5 316.5 319.5 322.5 325.5 328.5 331.5 334.5 337.5 340.5 343.5 346.5 349.5 352.5 355.5 358.5 361.5
TA 0.0 3.0 6.0 9.0 12.0 15.0 18.0 21.0 24.0 27.0 30.0 33.0 36.0 39.0 42.0 45.0 48.0 51.0 54.0 57.0 60.0 63.0 66.0 69.0 72.0 75.0 78.0 81.0 84.0 87.0 90.0 93.0 96.0 99.0 102.0 105.0 108.0 111.0 114.0 117.0 120.0 123.0 126.0 129.0 132.0 135.0 138.0 141.0 144.0 147.0 150.0 153.0 156.0 159.0 162.0 165.0 168.0 171.0 174.0 177.0 180.0
EA 1808.6290000000001 1808.63 1808.631
AP 2 26 1 0.00040788
AP 2 27 1 0.000563797
AP 2 28 1 0.000815947
AP 2 29 1 0.00125059
AP 2 30 1 0.00129849
AP 2 31 1 0.000847364
AP 2 32 1 0.000585516
AP 2 33 1 0.000423589
AP 2 34 1 0.000318485
AP 2 35 1 0.00024756
AP 2 36 1 0.000198119
AP 2 37 1 0.000162677
AP 2 38 1 0.000136634
AP 2 39 1 0.000117072
AP 2 40 1 0.000102085
AP 2 41 1 9.03929e-05
AP 2 42 1 8.11216e-05
AP 2 43 1 7.36597e-05
AP 2 44 1 6.75731e-05
AP 2 45 1 6.25486e-05
AP 2 46 1 5.8357e-05
AP 2 47 1 5.48267e-05
AP 2 48 1 5.18315e-05
AP 2 49 1 4.92743e-05
AP 2 50 1 4.70807e-05
AP 2 51 1 4.51927e-05
AP 2 52 1 4.3565e-05
AP 2 53 1 4.21618e-05
AP 2 54 1 4.09545e-05
AP 2 55 1 3.99202e-05
AP 2 56 1 3.90406e-05
AP 2 57 1 3.83007e-05
AP 2 58 1 3.76889e-05
AP 2 59 1 3.71957e-05
AP 2 60 1 3.58416e-05
AP 3 0 1 3.58406e-05
AP 3 1 1 3.63132e-05
AP 3 2 1 3.68999e-05
AP 3 3 1 3.76095e-05
AP 3 4 1 3.84533e-05
AP 3 5 1 3.94456e-05
AP 3 6 1 4.0604e-05
AP 3 7 1 4.19502e-05
AP 3 8 1 4.35115e-05
AP 3 9 1 4.53222e-05
AP 3 10 1 4.74254e-05
AP 3 11 1 4.98759e-05
AP 3 12 1 5.27445e-05
AP 3 13 1 5.61227e-05
AP 3 14 1 6.01307e-05
AP 3 15 1 6.49281e-05
AP 3 16 1 7.07293e-05
AP 3 17 1 7.78262e-05
AP 3 18 1 8.66225e-05
AP 3 19 1 9.76853e-05
AP 3 20 1 0.000111825
AP 3 21 1 0.000130225
AP 3 22 1 0.000154648
AP 3 23 1 0.000187793
AP 3 24 1 0.000233909
AP 3 25 1 0.000299923
AP 3 26 1 0.000397603
AP 3 27 1 0.000547991
AP 3 28 1 0.000791262
AP 3 29 1 0.0012112
AP 3 30 1 0.00125758
AP 3 31 1 0.000821724
AP 3 32 1 0.000569098
AP 3 33 1 0.000412914
AP 3 34 1 0.000311465
AP 3 35 1 0.000242904
AP 3 36 1 0.000195009
AP 3 37 1 0.000160587
AP 3 38 1 0.00013522
AP 3 39 1 0.000116109
AP 3 40 1 0.000101424
AP 3 41 1 8.99347e-05
AP 3 42 1 8.07996e-05
AP 3 43 1 7.34296e-05
AP 3 44 1 6.74055e-05
AP 3 45 1 6.2424e-05
AP 3 46 1 5.82623e-05
AP 3 47 1 5.47532e-05
AP 3 48 1 5.17736e-05
AP 3 49 1 4.92281e-05
AP 3 50 1 4.70435e-05
AP 3 51 1 4.51627e-05
AP 3 52 1 4.35409e-05
AP 3 53 1 4.21425e-05
AP 3 54 1 4.09393e-05
AP 3 55 1 3.99086e-05
AP 3 56 1 3.9032e-05
AP 3 57 1 3.82949e-05
AP 3 58 1 3.76856e-05
AP 3 59 1 3.71946e-05
AP 3 60 1 3.58406e-05
AP 4 0 1 3.5839e-05
AP 4 1 1 3.63084e-05
AP 4 2 1 3.68915e-05
AP 4 3 1 3.75972e-05
AP 4 4 1 3.84366e-05
AP 4 5 1 3.94238e-05
AP 4 6 1 4.05763e-05
AP 4 7 1 4.19155e-05
AP 4 8 1 4.34685e-05
AP 4 9 1 4.52689e-05
AP 4 10 1 4.73593e-05
AP 4 11 1 4.97934e-05
AP 4 12 1 5.26405e-05
AP 4 13 1 5.59897e-05
AP 4 14 1 5.9958e-05
AP 4 15 1 6.46998e-05
AP 4 16 1 7.04221e-05
AP 4 17 1 7.74057e-05
